name,venue_type,cuisine_primary,cuisine_secondary,area,affiliation,vibe,features,view,az_culture,open_hours_notes,status,instagram
Sahil Bar & Restaurant,restaurant,azerbaijani,seafood,seaside_boulevard,,elegant;trendy,terrace;sea_view;wine_bar,sea_view,,,open,@sahil_baku
Sumakh Restaurant,restaurant,azerbaijani,,khatai,,elegant;romantic,wine_bar,,traditional_interior,,open,@sumakhrestaurant
Chinar Dining,restaurant,pan_asian,,funicular_area,,trendy,bar;terrace,city_view,,,open,@chinardining
Shirvanshah Museum Restaurant,restaurant,azerbaijani,,fountains_square/old_city,,romantic;traditional_interior,live_music;tea_culture,,mugham_music;traditional_interior,,open,@shirvanshah
Dolma Restaurant,restaurant,azerbaijani,,fountains_square,,cozy;family_friendly,,,traditional_interior,,open,@dolma.restaurant
Firuze Restaurant,restaurant,azerbaijani,,fountains_square,,cozy;family_friendly,,,traditional_interior,,open,@firuzerestoran
Nergiz Restaurant,restaurant,azerbaijani,,fountains_square,,cozy,late_night,,traditional_interior,,open,@nergizrestoran
Shah Restaurant & Gallery,restaurant,azerbaijani,,khatai,,elegant;romantic,live_music;wine_bar,,traditional_interior,,open,@shahrestaurant
Qala Divari,restaurant,azerbaijani,european,old_city,,cozy,terrace,,traditional_interior,,open,@qala_divari
Qaynana Restaurant,restaurant,azerbaijani,,old_city,,cozy;family_friendly,tea_culture,,traditional_interior,,open,@qaynana_restaurant
Art Club Restaurant,restaurant,azerbaijani,european,old_city,,romantic;traditional_interior,wine_bar,,traditional_interior,,open,@artclub.az
Mugam Club Restaurant,restaurant,azerbaijani,,old_city,,romantic,live_music;tea_culture,,mugham_music;traditional_interior,,open,@mugamrestaurant
Mari Vanna Baku,restaurant,russian,european,seaside_boulevard/zarifa_aliyeva,,cozy;romantic,wine_bar;tea_culture,,traditional_interior,,open,@marivannabaku
Mangal Steak House,steakhouse,steakhouse,azerbaijani,seaside_boulevard,,lively,bar;late_night,,,,open,@mangal_steak_house
Paulaner Bräuhaus Baku,brewery,german_bavarian,,seaside_boulevard,,casual;lively,craft_beer;microbrewery;terrace,sea_view,,,open,@paulanerbaku
Zafferano – Four Seasons Baku,hotel_restaurant,italian,,four_seasons/old_city,four_seasons,fine_dining;romantic,terrace;wine_bar;breakfast,city_view,,,open,
OroNero Bar & Ristorante,hotel_restaurant,italian,,jw_marriott,jw_marriott,elegant;romantic,wine_bar;private_dining,city_view,,,open,@oronerobaku
360 Bar,rooftop_bar,international,,hilton,hilton,trendy;lively,rooftop;city_view;late_night;cocktails,city_view,,18:00–03:00,open,@360_hilton
Sky Grill,hotel_restaurant,european,seafood,hilton,hilton,elegant;romantic,terrace;city_view,city_view,,12:00–01:00,open,@skygrill_restaurant
